analysis,model,accuracy,walking_precision,walking_recall,walking_f1,macro_f1,n_folds
DS1_LOSO,Ridge Classifier,0.7742513453624564,0.9639107611548556,0.692624078353692,0.7071630509180729,0.7445753142789121,3
DS1_LOSO,Linear Discriminant,0.7774646520211682,0.9505678651806224,0.6997496423462088,0.7170561940071366,0.7506308289188839,3
DS1_LOSO,Extra Tree,0.7531736277029264,0.8999452661873044,0.7078469645320079,0.7173556926392181,0.7233710748370804,3
DS1_LOSO,KNN (k=11),0.7595008315293298,0.8992422034392306,0.6670105645427534,0.6538509902292692,0.7198174634492988,3
DS1_LOSO,KNN (k=5),0.7682472702757686,0.8935788989109951,0.6662092824914714,0.6581958854477921,0.7322706099037646,3
DS1_LOSO,SVM (Linear),0.7406282356890745,0.7220306729342875,0.6299066715657754,0.6456971545945526,0.709093557216955,3
DS1_LOSO,Passive Aggressive,0.7420133044692764,0.7166278913695137,0.6432334653901178,0.6394439676582396,0.70411560853923,3
DS1_LOSO,Extra Trees,0.7804938271604938,0.6666666666666666,0.6580829756795422,0.6623188405797101,0.7474088988046653,3
DS1_LOSO,Random Forest,0.5855349794238683,0.6666666666666666,0.3869814020028612,0.425754775107825,0.5481325492212284,3
DS1_LOSO,SVM (RBF),0.7619753086419753,0.6658730158730158,0.6330472103004291,0.6486079759217457,0.726360420289902,3
DS1_LOSO,Quadratic Discriminant,0.7754520819250246,0.6587794678553376,0.6587982832618026,0.658782064463803,0.7412224927050689,3
DS1_LOSO,MLP,0.7723967932069117,0.6521858412357607,0.6609442060085837,0.6564212743358286,0.7379950666278002,3
DS1_LOSO,Nu-SVC,0.6933180346532892,0.6492842535787321,0.5486531692567848,0.5905545738159129,0.6564202289332514,3
DS1_LOSO,Gaussian NB,0.7673239169364688,0.6459910909883271,0.6609472694243536,0.6533254327371975,0.7305150784700559,3
DS1_LOSO,Logistic Regression,0.7572376623033042,0.6362505469239282,0.6580829756795422,0.646550398599579,0.7201292988405698,3
DS1_LOSO,Gradient Boosting,0.5252729085646153,0.6298412698412698,0.3433476394849785,0.3332885304659498,0.4709260789685701,3
DS1_LOSO,Hist Gradient Boosting,0.5506118879045552,0.6275992438563327,0.3798283261802575,0.3941906987649279,0.5049395981930993,3
DS1_LOSO,AdaBoost,0.7421033313172282,0.6173965936739659,0.6587982832618026,0.6360845015680464,0.6985289598554981,3
DS1_LOSO,XGBoost,0.5047558733885983,0.6128067025733094,0.3347639484978541,0.3068854611823361,0.4404048212616986,3
DS1_LOSO,Bagging,0.501231156031028,0.6118067978533095,0.3347639484978541,0.3062927975208677,0.4375658194395583,3
DS1_LOSO,SGD Classifier,0.7324739662443793,0.6041571719381399,0.6630901287553649,0.6314385113386484,0.687586631570102,3
DS1_LOSO,Decision Tree,0.6083747045402504,0.5954228550229624,0.5481911899579346,0.5438683756975733,0.5541453196456839,3
DS1_aggregated,Ridge Classifier,0.9933110367892976,0.9975186104218362,0.9925925925925926,0.995049504950495,0.9923701132999898,1
DS1_aggregated,Extra Trees,0.9899665551839464,0.9950372208436724,0.9901234567901236,0.9925742574257426,0.9885551699499848,1
DS1_aggregated,Random Forest,0.9899665551839464,0.9950372208436724,0.9901234567901236,0.9925742574257426,0.9885551699499848,1
DS1_aggregated,SVM (RBF),0.9899665551839464,0.9950372208436724,0.9901234567901236,0.9925742574257426,0.9885551699499848,1
DS1_aggregated,KNN (k=5),0.991638795986622,0.9926108374384236,0.9950617283950616,0.9938347718865598,0.9904238794497734,1
DS1_aggregated,Linear Discriminant,0.9899665551839464,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.9885242755709076,1
DS1_aggregated,AdaBoost,0.9882943143812708,0.9925742574257426,0.9901234567901236,0.9913473423980222,0.9866297435504324,1
DS1_aggregated,KNN (k=11),0.9882943143812708,0.9925742574257426,0.9901234567901236,0.9913473423980222,0.9866297435504324,1
DS1_aggregated,Bagging,0.9832775919732442,0.9925187032418952,0.982716049382716,0.9875930521091812,0.9809760132340776,1
DS1_aggregated,Gradient Boosting,0.9866220735785952,0.9901234567901236,0.9901234567901236,0.9901234567901236,0.9846990340945436,1
DS1_aggregated,Logistic Regression,0.9866220735785952,0.9901234567901236,0.9901234567901236,0.9901234567901236,0.9846990340945436,1
DS1_aggregated,MLP,0.9866220735785952,0.9901234567901236,0.9901234567901236,0.9901234567901236,0.9846990340945436,1
DS1_aggregated,Hist Gradient Boosting,0.9866220735785952,0.9901234567901236,0.9901234567901236,0.9901234567901236,0.9846990340945436,1
DS1_aggregated,XGBoost,0.9849498327759196,0.99009900990099,0.9876543209876544,0.9888751545117428,0.9828096702791272,1
DS1_aggregated,Quadratic Discriminant,0.9832775919732442,0.9900744416873448,0.9851851851851852,0.9876237623762376,0.9809252832499744,1
DS1_aggregated,Passive Aggressive,0.9816053511705686,0.9900497512437813,0.982716049382716,0.98636926889715,0.9790458169678552,1
DS1_aggregated,SGD Classifier,0.9832775919732442,0.9876543209876544,0.9876543209876544,0.9876543209876544,0.9808737926181794,1
DS1_aggregated,Nu-SVC,0.9715719063545152,0.9874371859296482,0.9703703703703704,0.978829389788294,0.9677861961664116,1
DS1_aggregated,SVM (Linear),0.979933110367893,0.9851851851851852,0.9851851851851852,0.9851851851851852,0.9770485511418154,1
DS1_aggregated,Decision Tree,0.968227424749164,0.9825,0.9703703703703704,0.9763975155279504,0.9639020825721594,1
DS1_aggregated,Gaussian NB,0.8327759197324415,0.9750778816199376,0.7728395061728395,0.8622589531680441,0.8247464978606178,1
DS1_aggregated,Extra Tree,0.9548494983277592,0.9565217391304348,0.9777777777777776,0.967032967032967,0.9477074649488444,1
DS2_kfold,SVM (RBF),0.8077720469148199,0.918214129663305,0.6647050975362184,0.7588125286024042,0.7985692767521817,3
DS2_kfold,Extra Trees,0.7954681130475807,0.9127553931955088,0.6413689798279821,0.7337146029670757,0.782068161973206,3
DS2_kfold,Random Forest,0.7621445630629587,0.9088486868998936,0.5657118066100832,0.6705999018795001,0.7410146279643438,3
DS2_kfold,Nu-SVC,0.8024958962784549,0.9064531502747633,0.6630760104399928,0.7503566957454725,0.7919140411918519,3
DS2_kfold,AdaBoost,0.7816341806933261,0.9063268002936588,0.6148593875910606,0.7130267891999035,0.7670364226299297,3
DS2_kfold,Logistic Regression,0.8340736933616667,0.9047918849618454,0.7366635148943178,0.8075078178947671,0.8304330277464419,3
DS2_kfold,Gaussian NB,0.7994871637148414,0.901962170655896,0.6622706254648358,0.746213802523329,0.7883312324760912,3
DS2_kfold,XGBoost,0.7691422956253814,0.896858823747063,0.5905953698810695,0.6908794814166478,0.7521739457772592,3
DS2_kfold,KNN (k=11),0.837353232290548,0.8967305445773405,0.7535324462983884,0.7969460068764876,0.8278001430790388,3
DS2_kfold,SGD Classifier,0.8293592306199584,0.8963975949966997,0.740343310346317,0.80311919246413,0.8249849192919525,3
DS2_kfold,Gradient Boosting,0.7780689625136509,0.8949606416734444,0.6116714765783495,0.7080655959020228,0.763376558830276,3
DS2_kfold,SVM (Linear),0.8316350849990782,0.8931640956656478,0.7460638383221773,0.8068596773446449,0.8278632190251116,3
DS2_kfold,Hist Gradient Boosting,0.770689688355607,0.8883053977299261,0.6004333328440324,0.6975063800065774,0.755358770166397,3
DS2_kfold,KNN (k=5),0.8362631020104966,0.887797249378087,0.7575180653247,0.8000724181248439,0.8281890762008355,3
DS2_kfold,Linear Discriminant,0.8313580839992744,0.8808909976907427,0.7694272788427664,0.798084915872125,0.8227595720722665,3
DS2_kfold,Ridge Classifier,0.8319132254644582,0.8798319585324833,0.7719644724560742,0.7988054364679714,0.8232993302714768,3
DS2_kfold,MLP,0.76937505482291,0.8689979200744262,0.6177592016398665,0.7069237191643314,0.7572600752631318,3
DS2_kfold,Quadratic Discriminant,0.8029022490046135,0.8615447664610608,0.7054611584551861,0.7692727129037994,0.7981330753274646,3
DS2_kfold,Bagging,0.7209750124761335,0.8227422437110136,0.5255757130631853,0.6140640953070461,0.6962646773790775,3
DS2_kfold,Passive Aggressive,0.7782734085089692,0.8059777651119883,0.6908065770132538,0.7362277411916865,0.7716151742007668,3
DS2_kfold,Decision Tree,0.6969807140701924,0.7529192400551624,0.5440338282358309,0.6091256030999405,0.6776305344944392,3
DS2_kfold,Extra Tree,0.7146856025579758,0.7419333883670931,0.611262151111624,0.6647637561683298,0.7074085578948376,3
DS2_aggregated,Random Forest,0.9369708372530574,0.9491525423728814,0.9198067632850242,0.9342492639842984,0.9368626627057896,1
DS2_aggregated,XGBoost,0.9444967074317968,0.9481915933528836,0.9371980676328504,0.9426627793974732,0.9444398673650994,1
DS2_aggregated,Gradient Boosting,0.940263405456256,0.9477317554240632,0.9285024154589372,0.9380185456320156,0.940184942357542,1
DS2_aggregated,Hist Gradient Boosting,0.944967074317968,0.945631067961165,0.9410628019323672,0.9433414043583536,0.9449217309857612,1
DS2_aggregated,Bagging,0.9388523047977424,0.9449360865290068,0.9285024154589372,0.9366471734892788,0.9387781321991848,1
DS2_aggregated,Extra Trees,0.927093132643462,0.940881763527054,0.9072463768115944,0.9237579931136252,0.92695335437565,1
DS2_aggregated,SVM (RBF),0.9242709313264346,0.9405241935483872,0.9014492753623188,0.9205722742969906,0.9241063618675964,1
DS2_aggregated,Linear Discriminant,0.9134524929444968,0.9355168884339816,0.8830917874396135,0.9085487077534792,0.913202925305311,1
DS2_aggregated,SVM (Linear),0.9158043273753528,0.934959349593496,0.8888888888888888,0.9113422486379396,0.9155905152728434,1
DS2_aggregated,Ridge Classifier,0.9148635936030104,0.9348268839103868,0.8869565217391304,0.9102627664848786,0.914639213220068,1
DS2_aggregated,Nu-SVC,0.913922859830668,0.9329268292682928,0.8869565217391304,0.9093610698365528,0.9137042698040804,1
DS2_aggregated,Logistic Regression,0.9134524929444968,0.9311043566362716,0.8879227053140096,0.9090009891196836,0.913244889178676,1
DS2_aggregated,SGD Classifier,0.9148635936030104,0.9295774647887324,0.8927536231884058,0.9107934943321834,0.9146859959290248,1
DS2_aggregated,MLP,0.9129821260583256,0.925,0.893719806763285,0.9090909090909092,0.9128224053799154,1
DS2_aggregated,Gaussian NB,0.8767638758231421,0.9178378378378378,0.8202898550724638,0.8663265306122448,0.8760079424439933,1
DS2_aggregated,KNN (k=11),0.913922859830668,0.9168297455968688,0.9053140096618356,0.9110354885755956,0.9138320950850642,1
DS2_aggregated,AdaBoost,0.9087488240827846,0.9134709931170109,0.8975845410628019,0.905458089668616,0.9086381357433988,1
DS2_aggregated,KNN (k=5),0.9129821260583256,0.9134241245136188,0.9072463768115944,0.9103247697527872,0.9129056466397558,1
DS2_aggregated,Quadratic Discriminant,0.8814675446848542,0.9031925849639548,0.8473429951690822,0.8743768693918246,0.8810887018374973,1
DS2_aggregated,Decision Tree,0.9026340545625589,0.8988439306358381,0.9014492753623188,0.9001447178002895,0.902573506215427,1
DS2_aggregated,Extra Tree,0.8800564440263405,0.8816046966731899,0.8705314009661835,0.8760330578512396,0.8799299685611551,1
DS2_aggregated,Passive Aggressive,0.8179680150517403,0.8306122448979592,0.7864734299516908,0.8079404466501241,0.8174704468386964,1
